h,w
142.1510261,46.55068558
142.864472,47.06380169
143.4777148,47.37242717
144.0909577,47.68105265
144.6013254,47.98925823
145.111693,48.29746381
145.6233968,48.50363403
146.1324284,48.91387498
146.7456712,49.22250046
147.357578,49.6331613
147.6635314,49.83849172
147.9681488,50.14585751
149.0917593,50.76268857
150.0109555,51.27664448
150.9301518,51.79060038
152.2581766,52.5103066
153.0731616,53.12587797
154.2983112,53.84516429
155.2161714,54.46115556
156.1353677,54.97511146
157.6624626,56.2058343
158.783401,57.02673609
160.0058786,57.95009314
160.9237388,58.56608441
161.8375909,59.48818176
162.8556541,60.30866365
163.8750534,61.02711018
164.4856242,61.53980639
165.4008123,62.35986838
166.1102501,63.17909058
167.0267743,63.89711721
167.7362121,64.7163394
168.2452437,65.12658035
168.7529393,65.63885665
169.360838,66.35562359
170.177159,66.86915959
170.7863938,67.48389116
171.3942924,68.2006581
172.0048632,68.7133543
172.6127619,69.43012124
173.0189183,69.83994228
173.6294891,70.35263849
174.0343095,70.8644949
174.5420051,71.37677121
175.0510368,71.78701215
175.7618106,72.50419899
176.3697093,73.22096592
178.5995618,75.78108777
179.2101325,76.29378397
179.5147499,76.60114976
179.9209064,77.01097081
180.3270628,77.42079185
180.7318833,77.93264826
181.1353677,78.54654004
181.7432664,79.26330697
181.9450086,79.57025286
182.351165,79.9800739
182.9577277,80.7988762
183.4627512,81.51522323
189.0353784,88.0685809
188.7347691,87.45510902
188.2310817,86.63672662
187.8249252,86.22690558
187.2156905,85.61217401
186.8122061,84.99828223
185.9985571,84.2806755
185.4948696,83.4622931
184.6838927,82.54061565
184.1761971,82.02833934
185.2944634,83.05331185
177.0831552,73.73408203
177.5895147,74.3483937
177.9943352,74.86025011
178.5020308,75.37252642
156.6430633,55.48738777
157.1520949,55.89762872
158.2757054,56.51445978
159.6023942,57.33620137
