h,w
142.043956,46.65106498
144.6748067,48.01722968
146.7065527,49.15479582
149.0980871,50.40700041
151.1298331,51.54456654
153.2787953,52.90801791
155.6687017,54.27282594
158.7733008,56.2047212
161.039479,57.79405779
162.9474969,59.15615249
164.8522589,60.74345408
166.5193325,62.1041921
168.1864062,63.46493013
169.8518519,64.9382716
171.5156695,66.52421652
173.1794872,68.11016144
174.963777,69.6967847
176.5071225,71.28205128
178.4070004,73.20716321
179.5938136,74.45258445
181.1371591,76.03785104
182.5600326,77.62243929
184.2222222,79.32098765
185.6450956,80.90557591
187.3056573,82.71672772
188.6080586,84.30063763
189.9137159,85.65934066
191.2144892,87.35585402
192.5185185,88.82716049
