h,w
142.1870992,51.65287363
142.9005451,52.16598974
143.9252886,52.47629481
144.5371954,52.88695566
145.1491022,53.2976165
145.761009,53.70827735
146.5800021,54.01774263
147.3976593,54.42924327
148.9234181,55.76200147
149.7424113,56.07146674
150.3543181,56.48212759
151.1679671,57.19973432
151.7785378,57.71243053
152.7004062,58.0223157
153.41118,58.73950253
154.3290402,59.3554938
154.942283,59.66411928
156.2703078,60.38382551
156.8795425,60.99855708
157.5903164,61.71574391
158.099348,62.12598485
158.9156691,62.63952086
159.5249038,63.25425243
160.1354746,63.76694863
160.541631,64.17676968
161.255077,64.68988579
161.7641086,65.10012673
162.4788906,65.51120748
162.7808358,66.02264399
163.4916097,66.73983082
163.796227,67.0471966
164.5070009,67.76438344
189.0180098,97.25218347
188.4141193,96.22931045
187.9104318,95.41092805
185.8876657,92.74961064
184.9831659,91.11326574
183.8689077,89.78218714
182.8548525,88.65559916
181.7419303,87.22248519
180.7265391,86.19793257
179.3116717,84.25338209
177.5895147,82.20553655
176.2761864,80.36344134
174.245404,78.3143361
173.2380291,76.67757131
171.9193566,75.24361754
170.5044891,73.29906706
169.0816054,71.96672876
167.863136,70.73726562
166.2411821,68.89391071
165.2244549,67.97139345
165.4261971,68.27833934
167.6627298,70.32828437
168.3681595,71.45361265
169.7897071,72.88798632
172.7316695,76.06325963
173.8459277,77.39433824
174.8586469,78.62296158
175.6736319,79.23853295
175.871366,79.85158493
176.9882963,80.97859281
177.2889055,81.59206468
178.3002886,82.92272339
179.0123985,83.53787485
180.0237815,84.86853356
180.428602,85.38038997
181.438649,86.81308404
182.3484929,88.04128749
183.5629543,89.57685672
184.4754703,90.60098943
185.3839782,91.93122824
186.4955643,93.46637757
187.5056114,94.89907164
166.6460026,69.40576712
166.9479478,69.91720363
170.8037623,74.0145743
171.3101218,74.62888597
187.0005879,94.18272461
148.1084331,55.1464301
