h,w
141.97558,51.38040971
144.4875865,52.63329263
146.3972324,53.88278388
148.5478225,55.1336318
150.5795686,56.27119794
152.4892145,57.52068919
154.7570208,58.99742233
156.7855108,60.36019536
158.5730566,61.72161172
160.3622304,62.97042464
162.029304,64.33116266
163.6963777,65.69190069
165.4806675,67.27852395
167.3838014,68.97842898
168.6910867,70.22452856
170.2360602,71.6971917
172.017094,73.50902184
173.4432234,74.8684032
174.7472527,76.33970967
176.5266585,78.26414326
178.4216524,80.52706553
180.1994302,82.56410256
181.977208,84.6011396
183.5172975,86.41161308
185.0557591,88.33469
186.9491249,90.71021571
188.2498982,92.40672907
189.9039479,94.66829467
192.031746,97.49559083
